Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError
iris,4,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,4,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,4,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,4,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,4,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,4,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,4,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.001,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,5,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.001,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,6,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.001,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
iris,7,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02204252326E7,135.0,15.0,5.0,10.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.4444444444444446,0.47140452079103173,100.0,100.0,23.77443751081735,23.77443751081735,0.0,1.5849625007211567,1.5849625007211567,0.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,NaN,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.5,0.3333333333333333,NaN,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,944.0,10633.0,2353.0,100.0,100.0,?,?,?,?,?
